Year;Economic Activity;Type of Fixed Assets;Purchases in Thousands SR
2008;Printing & Publishing;Furniture;8101.0
2008;Products of refined petroleum;Other assets;240665.0
2008;Products of refined petroleum;Land and Buildings;48539.0
2008;Manufacture of chemicals , Articles and  products;Other assets;421937.0
2008;Manufacture of rubber and plastics products;Other assets;89520.0
2008;Manufacture of basic metals;Other assets;278652.0
2008;Manufacture of fabricated metal products;Other assets;469961.0
2008;Manufacture of fabricated metal products;Other Equipment;164794.0
2008;Manufacture of machinery and equipment;Other assets;108915.0
2008;Manufacture of machinery and equipment;Transportation Equipment;35799.0
2008;Manufacture of machinery and equipment;Total;262406.0
2008;Manufacture of machinery and equipment;Furniture;10454.0
2008;Manufacture of office, accounting and computing machinery;Furniture;0.0
2008;Manufacture of electrical machinery and apparatus;Land and Buildings;142034.0
2008;Manufacture of radio, television and communication equipment and apparatus;Land and Buildings;0.0
2008;Manufacture of radio, television and communication equipment and apparatus;Transportation Equipment;3359.0
2008;Manufacture of motor vehicles, trailers and semi-trailers;Land and Buildings;2333.0
2008;Manufacture of other transport equipment;Furniture;430.0
